Date de consommation;Consommation (kWh);Nature de la donnee
26-06-2023;12;Reelle
25-06-2023;12;Reelle
24-06-2023;11;Reelle
23-06-2023;11;Reelle
22-06-2023;13;Reelle
21-06-2023;14;Reelle
20-06-2023;10;Reelle
19-06-2023;11;Reelle
18-06-2023;15;Reelle
17-06-2023;19;Reelle
16-06-2023;9;Reelle
15-06-2023;13;Reelle
14-06-2023;13;Reelle
13-06-2023;10;Reelle
12-06-2023;11;Reelle
11-06-2023;13;Reelle
10-06-2023;17;Reelle
09-06-2023;8;Reelle
08-06-2023;11;Reelle
07-06-2023;15;Reelle
06-06-2023;9;Reelle
05-06-2023;11;Reelle
04-06-2023;15;Reelle
03-06-2023;13;Reelle
02-06-2023;14;Reelle
01-06-2023;10;Reelle
31-05-2023;14;Reelle
30-05-2023;14;Reelle
29-05-2023;12;Reelle
28-05-2023;11;Reelle
27-05-2023;18;Reelle
26-05-2023;13;Reelle
25-05-2023;10;Reelle
24-05-2023;15;Reelle
23-05-2023;10;Reelle
22-05-2023;11;Reelle
21-05-2023;18;Reelle
20-05-2023;12;Reelle
19-05-2023;16;Reelle
18-05-2023;15;Reelle
17-05-2023;14;Reelle
16-05-2023;12;Reelle
15-05-2023;16;Reelle
14-05-2023;18;Reelle
13-05-2023;16;Reelle
12-05-2023;15;Reelle
11-05-2023;13;Reelle
10-05-2023;17;Reelle
09-05-2023;15;Reelle
08-05-2023;16;Reelle
07-05-2023;10;Reelle
06-05-2023;14;Reelle
05-05-2023;13;Reelle
04-05-2023;11;Reelle
03-05-2023;21;Reelle
02-05-2023;20;Reelle
01-05-2023;17;Reelle
30-04-2023;16;Reelle
29-04-2023;23;Reelle
28-04-2023;17;Reelle
27-04-2023;26;Reelle
26-04-2023;22;Reelle
25-04-2023;25;Reelle
24-04-2023;23;Reelle
23-04-2023;23;Reelle
22-04-2023;18;Reelle
21-04-2023;19;Reelle
20-04-2023;26;Reelle
19-04-2023;30;Reelle
18-04-2023;23;Reelle
17-04-2023;22;Reelle
16-04-2023;24;Reelle
15-04-2023;32;Reelle
14-04-2023;28;Reelle
13-04-2023;29;Reelle
12-04-2023;26;Reelle
11-04-2023;25;Reelle
10-04-2023;26;Reelle
09-04-2023;20;Reelle
08-04-2023;22;Reelle
07-04-2023;22;Reelle
06-04-2023;26;Reelle
05-04-2023;29;Reelle
04-04-2023;24;Reelle
03-04-2023;28;Reelle
02-04-2023;30;Reelle
01-04-2023;23;Reelle
31-03-2023;23;Reelle
30-03-2023;24;Reelle
29-03-2023;27;Reelle
28-03-2023;26;Reelle
27-03-2023;24;Reelle
26-03-2023;25;Reelle
25-03-2023;26;Reelle
24-03-2023;24;Reelle
23-03-2023;25;Reelle
22-03-2023;29;Reelle
21-03-2023;24;Reelle
20-03-2023;24;Reelle
19-03-2023;25;Reelle
18-03-2023;27;Reelle
17-03-2023;24;Reelle
16-03-2023;21;Reelle
15-03-2023;27;Reelle
14-03-2023;24;Reelle
13-03-2023;23;Reelle
12-03-2023;24;Reelle
11-03-2023;32;Reelle
10-03-2023;30;Reelle
09-03-2023;26;Reelle
08-03-2023;27;Reelle
07-03-2023;27;Reelle
06-03-2023;37;Reelle
05-03-2023;29;Reelle
04-03-2023;31;Reelle
03-03-2023;30;Reelle
02-03-2023;30;Reelle
01-03-2023;29;Reelle
28-02-2023;30;Reelle
27-02-2023;29;Reelle
26-02-2023;28;Reelle
25-02-2023;28;Reelle
24-02-2023;27;Reelle
23-02-2023;29;Reelle
22-02-2023;26;Reelle
21-02-2023;24;Reelle
20-02-2023;33;Reelle
19-02-2023;30;Reelle
18-02-2023;24;Reelle
17-02-2023;24;Reelle
16-02-2023;28;Reelle
15-02-2023;35;Reelle
14-02-2023;28;Reelle
13-02-2023;34;Reelle
12-02-2023;28;Reelle
11-02-2023;30;Reelle
10-02-2023;29;Reelle
09-02-2023;31;Reelle
08-02-2023;38;Reelle
07-02-2023;29;Reelle
06-02-2023;32;Reelle
05-02-2023;27;Reelle
04-02-2023;28;Reelle
03-02-2023;23;Reelle
02-02-2023;28;Reelle
01-02-2023;29;Reelle
31-01-2023;26;Reelle
30-01-2023;29;Reelle
29-01-2023;39;Reelle
28-01-2023;27;Reelle
27-01-2023;30;Reelle
26-01-2023;29;Reelle
25-01-2023;24;Reelle
24-01-2023;31;Reelle
23-01-2023;34;Reelle
22-01-2023;36;Reelle
21-01-2023;34;Reelle
20-01-2023;40;Reelle
19-01-2023;31;Reelle
18-01-2023;37;Reelle
17-01-2023;35;Reelle
16-01-2023;37;Reelle
15-01-2023;31;Reelle
14-01-2023;34;Reelle
13-01-2023;28;Reelle
12-01-2023;22;Reelle
11-01-2023;26;Reelle
10-01-2023;29;Reelle
09-01-2023;34;Reelle
08-01-2023;26;Reelle
07-01-2023;26;Reelle
06-01-2023;28;Reelle
05-01-2023;28;Reelle
04-01-2023;22;Reelle
03-01-2023;27;Reelle
02-01-2023;30;Reelle
01-01-2023;26;Reelle
31-12-2022;23;Reelle
30-12-2022;21;Reelle
29-12-2022;29;Reelle
28-12-2022;26;Reelle
27-12-2022;30;Reelle
26-12-2022;28;Reelle
25-12-2022;31;Reelle
24-12-2022;26;Reelle
23-12-2022;24;Reelle
22-12-2022;25;Reelle
21-12-2022;25;Reelle
20-12-2022;24;Reelle
19-12-2022;27;Reelle
18-12-2022;30;Reelle
17-12-2022;46;Reelle
16-12-2022;57;Reelle
15-12-2022;46;Reelle
14-12-2022;41;Reelle
13-12-2022;44;Reelle
12-12-2022;44;Reelle
11-12-2022;40;Reelle
10-12-2022;38;Reelle
09-12-2022;37;Reelle
08-12-2022;31;Reelle
07-12-2022;35;Reelle
06-12-2022;37;Reelle
05-12-2022;38;Reelle
04-12-2022;32;Reelle
03-12-2022;30;Reelle
02-12-2022;42;Reelle
01-12-2022;33;Reelle
30-11-2022;29;Reelle
29-11-2022;29;Reelle
28-11-2022;26;Reelle
27-11-2022;23;Reelle
26-11-2022;22;Reelle
25-11-2022;23;Reelle
24-11-2022;22;Reelle
23-11-2022;24;Reelle
22-11-2022;24;Reelle
21-11-2022;26;Reelle
20-11-2022;24;Reelle
19-11-2022;27;Reelle
18-11-2022;25;Reelle
17-11-2022;24;Reelle
16-11-2022;24;Reelle
15-11-2022;24;Reelle
14-11-2022;23;Reelle
13-11-2022;19;Reelle
12-11-2022;20;Reelle
11-11-2022;19;Reelle
10-11-2022;25;Reelle
09-11-2022;22;Reelle
08-11-2022;21;Reelle
07-11-2022;23;Reelle
06-11-2022;22;Reelle
05-11-2022;21;Reelle
04-11-2022;25;Reelle
03-11-2022;25;Reelle
02-11-2022;23;Reelle
01-11-2022;23;Reelle
29-10-2022;19;Reelle
28-10-2022;19;Reelle
27-10-2022;16;Reelle
26-10-2022;18;Reelle
25-10-2022;21;Reelle
24-10-2022;26;Reelle
23-10-2022;20;Reelle
22-10-2022;20;Reelle
21-10-2022;17;Reelle
20-10-2022;21;Reelle
19-10-2022;23;Reelle
18-10-2022;21;Reelle
17-10-2022;24;Reelle
16-10-2022;15;Reelle
15-10-2022;15;Reelle
14-10-2022;13;Reelle
13-10-2022;18;Reelle
12-10-2022;11;Reelle
11-10-2022;12;Reelle
10-10-2022;15;Reelle
09-10-2022;14;Reelle
08-10-2022;15;Reelle
07-10-2022;14;Reelle
06-10-2022;11;Reelle
05-10-2022;11;Reelle
04-10-2022;14;Reelle
03-10-2022;14;Reelle
02-10-2022;12;Reelle
01-10-2022;17;Reelle
30-09-2022;12;Reelle
29-09-2022;15;Reelle
28-09-2022;16;Reelle
27-09-2022;11;Reelle
26-09-2022;15;Reelle
25-09-2022;16;Reelle
24-09-2022;14;Reelle
23-09-2022;12;Reelle
22-09-2022;17;Reelle
21-09-2022;13;Reelle
20-09-2022;9;Reelle
19-09-2022;15;Reelle
18-09-2022;16;Reelle
17-09-2022;13;Reelle
16-09-2022;12;Reelle
15-09-2022;11;Reelle
14-09-2022;12;Reelle
13-09-2022;12;Reelle
12-09-2022;13;Reelle
11-09-2022;14;Reelle
10-09-2022;17;Reelle
09-09-2022;12;Reelle
08-09-2022;11;Reelle
07-09-2022;12;Reelle
06-09-2022;11;Reelle
05-09-2022;15;Reelle
04-09-2022;12;Reelle
03-09-2022;14;Reelle
02-09-2022;11;Reelle
01-09-2022;15;Reelle
31-08-2022;12;Reelle
30-08-2022;12;Reelle
29-08-2022;16;Reelle
28-08-2022;15;Reelle
27-08-2022;13;Reelle
26-08-2022;12;Reelle
25-08-2022;14;Reelle
24-08-2022;10;Reelle
23-08-2022;15;Reelle
22-08-2022;10;Reelle
21-08-2022;10;Reelle
20-08-2022;12;Reelle
19-08-2022;12;Reelle
18-08-2022;16;Reelle
17-08-2022;16;Reelle
16-08-2022;15;Reelle
15-08-2022;20;Reelle
14-08-2022;8;Reelle
13-08-2022;10;Reelle
12-08-2022;10;Reelle
11-08-2022;14;Reelle
10-08-2022;11;Reelle
09-08-2022;7;Reelle
08-08-2022;12;Reelle
07-08-2022;10;Reelle
06-08-2022;15;Reelle
05-08-2022;14;Reelle
04-08-2022;8;Reelle
03-08-2022;11;Reelle
02-08-2022;9;Reelle
01-08-2022;11;Reelle
31-07-2022;11;Reelle
30-07-2022;11;Reelle
29-07-2022;12;Reelle
28-07-2022;14;Reelle
27-07-2022;10;Reelle
26-07-2022;10;Reelle
25-07-2022;15;Reelle
24-07-2022;11;Reelle
23-07-2022;11;Reelle
22-07-2022;9;Reelle
21-07-2022;10;Reelle
20-07-2022;8;Reelle
19-07-2022;8;Reelle
18-07-2022;10;Reelle
17-07-2022;9;Reelle
16-07-2022;10;Reelle
15-07-2022;13;Reelle
14-07-2022;19;Reelle
13-07-2022;16;Reelle
12-07-2022;11;Reelle
11-07-2022;13;Reelle
10-07-2022;16;Reelle
09-07-2022;10;Reelle
08-07-2022;14;Reelle
07-07-2022;14;Reelle
06-07-2022;11;Reelle
05-07-2022;13;Reelle
04-07-2022;12;Reelle
03-07-2022;13;Reelle
02-07-2022;17;Reelle
01-07-2022;16;Reelle
30-06-2022;14;Reelle
29-06-2022;14;Reelle
28-06-2022;13;Reelle
27-06-2022;16;Reelle
26-06-2022;11;Reelle
25-06-2022;13;Reelle
24-06-2022;10;Reelle
23-06-2022;12;Reelle
22-06-2022;14;Reelle
21-06-2022;15;Reelle
20-06-2022;14;Reelle
19-06-2022;10;Reelle
18-06-2022;12;Reelle
17-06-2022;13;Reelle
16-06-2022;14;Reelle
15-06-2022;14;Reelle
14-06-2022;11;Reelle
13-06-2022;15;Reelle
12-06-2022;13;Reelle
11-06-2022;14;Reelle
10-06-2022;14;Reelle
09-06-2022;15;Reelle
08-06-2022;13;Reelle
07-06-2022;13;Reelle
06-06-2022;13;Reelle
05-06-2022;9;Reelle
04-06-2022;23;Reelle
03-06-2022;20;Reelle
02-06-2022;24;Reelle
01-06-2022;23;Reelle
31-05-2022;21;Reelle
30-05-2022;25;Reelle
29-05-2022;20;Reelle
28-05-2022;23;Reelle
27-05-2022;20;Reelle
26-05-2022;25;Reelle
25-05-2022;22;Reelle
24-05-2022;19;Reelle
23-05-2022;24;Reelle
22-05-2022;20;Reelle
21-05-2022;25;Reelle
20-05-2022;19;Reelle
19-05-2022;20;Reelle
18-05-2022;20;Reelle
17-05-2022;20;Reelle
16-05-2022;21;Reelle
15-05-2022;18;Reelle
14-05-2022;25;Reelle
13-05-2022;22;Reelle
12-05-2022;21;Reelle
11-05-2022;22;Reelle
10-05-2022;23;Reelle
09-05-2022;25;Reelle
08-05-2022;23;Reelle
07-05-2022;29;Reelle
06-05-2022;23;Reelle
05-05-2022;23;Reelle
04-05-2022;23;Reelle
03-05-2022;26;Reelle
02-05-2022;26;Reelle
01-05-2022;26;Reelle
30-04-2022;26;Reelle
29-04-2022;22;Reelle
28-04-2022;24;Reelle
27-04-2022;24;Reelle
26-04-2022;25;Reelle
25-04-2022;25;Reelle
24-04-2022;23;Reelle
23-04-2022;25;Reelle
22-04-2022;25;Reelle
21-04-2022;24;Reelle
20-04-2022;26;Reelle
19-04-2022;25;Reelle
18-04-2022;23;Reelle
17-04-2022;24;Reelle
16-04-2022;23;Reelle
15-04-2022;24;Reelle
14-04-2022;24;Reelle
13-04-2022;27;Reelle
12-04-2022;22;Reelle
11-04-2022;27;Reelle
10-04-2022;24;Reelle
09-04-2022;38;Reelle
08-04-2022;30;Reelle
07-04-2022;24;Reelle
06-04-2022;24;Reelle
05-04-2022;22;Reelle
04-04-2022;34;Reelle
03-04-2022;36;Reelle
02-04-2022;28;Reelle
01-04-2022;33;Reelle
31-03-2022;30;Reelle
30-03-2022;29;Reelle
29-03-2022;28;Reelle
28-03-2022;28;Reelle
27-03-2022;26;Reelle
26-03-2022;27;Reelle
25-03-2022;25;Reelle
24-03-2022;26;Reelle
23-03-2022;26;Reelle
22-03-2022;25;Reelle
21-03-2022;23;Reelle
20-03-2022;27;Reelle
19-03-2022;28;Reelle
18-03-2022;28;Reelle
17-03-2022;28;Reelle
16-03-2022;24;Reelle
15-03-2022;28;Reelle
14-03-2022;30;Reelle
13-03-2022;28;Reelle
12-03-2022;32;Reelle
11-03-2022;29;Reelle
10-03-2022;29;Reelle
09-03-2022;32;Reelle
08-03-2022;35;Reelle
07-03-2022;41;Reelle
06-03-2022;40;Reelle
05-03-2022;34;Reelle
04-03-2022;28;Reelle
03-03-2022;29;Reelle
02-03-2022;25;Reelle
01-03-2022;25;Reelle
28-02-2022;30;Reelle
27-02-2022;35;Reelle
26-02-2022;37;Reelle
25-02-2022;35;Reelle
24-02-2022;34;Reelle
23-02-2022;27;Reelle
22-02-2022;25;Reelle
21-02-2022;30;Reelle
20-02-2022;33;Reelle
19-02-2022;37;Reelle
18-02-2022;29;Reelle
17-02-2022;27;Reelle
16-02-2022;24;Reelle
15-02-2022;34;Reelle
14-02-2022;35;Reelle
13-02-2022;33;Reelle
12-02-2022;47;Reelle
11-02-2022;38;Reelle
10-02-2022;34;Reelle
09-02-2022;29;Reelle
08-02-2022;27;Reelle
07-02-2022;27;Reelle
06-02-2022;28;Reelle
05-02-2022;31;Reelle
04-02-2022;32;Reelle
03-02-2022;32;Reelle
02-02-2022;27;Reelle
01-02-2022;29;Reelle
31-01-2022;35;Reelle
30-01-2022;31;Reelle
29-01-2022;28;Reelle
28-01-2022;28;Reelle
27-01-2022;38;Reelle
26-01-2022;46;Reelle
25-01-2022;48;Reelle
24-01-2022;48;Reelle
23-01-2022;35;Reelle
22-01-2022;35;Reelle
21-01-2022;35;Reelle
20-01-2022;35;Reelle
19-01-2022;37;Reelle
18-01-2022;37;Reelle
17-01-2022;33;Reelle
16-01-2022;33;Reelle
15-01-2022;43;Reelle
14-01-2022;45;Reelle
13-01-2022;37;Reelle
12-01-2022;28;Reelle
11-01-2022;26;Reelle
10-01-2022;31;Recalculee
09-01-2022;36;Recalculee
08-01-2022;31;Reelle
07-01-2022;34;Reelle
06-01-2022;38;Reelle
05-01-2022;36;Reelle
04-01-2022;31;Reelle
03-01-2022;24;Reelle
02-01-2022;28;Reelle
01-01-2022;26;Reelle
31-12-2021;28;Reelle
30-12-2021;23;Reelle
29-12-2021;27;Reelle
28-12-2021;26;Reelle
27-12-2021;32;Reelle
26-12-2021;31;Reelle
25-12-2021;29;Reelle
24-12-2021;38;Reelle
23-12-2021;38;Reelle
22-12-2021;52;Reelle
21-12-2021;39;Reelle
20-12-2021;40;Reelle
19-12-2021;34;Reelle
18-12-2021;32;Reelle
17-12-2021;37;Reelle
16-12-2021;36;Reelle
15-12-2021;32;Reelle
14-12-2021;25;Reelle
13-12-2021;29;Reelle
12-12-2021;33;Reelle
11-12-2021;32;Reelle
10-12-2021;38;Reelle
09-12-2021;39;Reelle
08-12-2021;45;Reelle
07-12-2021;28;Reelle
06-12-2021;34;Reelle
05-12-2021;34;Reelle
04-12-2021;29;Reelle
03-12-2021;30;Reelle
02-12-2021;34;Reelle
01-12-2021;29;Reelle
30-11-2021;27;Reelle
29-11-2021;40;Reelle
28-11-2021;37;Reelle
27-11-2021;37;Reelle
26-11-2021;33;Reelle
25-11-2021;27;Reelle
24-11-2021;26;Reelle
23-11-2021;30;Reelle
22-11-2021;33;Reelle
21-11-2021;28;Reelle
20-11-2021;26;Reelle
19-11-2021;21;Reelle
18-11-2021;21;Reelle
17-11-2021;23;Reelle
16-11-2021;23;Reelle
15-11-2021;25;Reelle
14-11-2021;22;Reelle
13-11-2021;24;Reelle
12-11-2021;23;Reelle
11-11-2021;27;Reelle
10-11-2021;22;Reelle
09-11-2021;23;Reelle
08-11-2021;23;Reelle
07-11-2021;22;Reelle
06-11-2021;23;Reelle
05-11-2021;22;Reelle
04-11-2021;25;Reelle
03-11-2021;23;Reelle
02-11-2021;27;Reelle
01-11-2021;23;Reelle
31-10-2021;19;Reelle
30-10-2021;23;Reelle
29-10-2021;18;Reelle
28-10-2021;19;Reelle
27-10-2021;19;Reelle
26-10-2021;21;Reelle
25-10-2021;26;Reelle
24-10-2021;22;Reelle
23-10-2021;23;Reelle
22-10-2021;20;Reelle
21-10-2021;19;Reelle
20-10-2021;18;Reelle
19-10-2021;17;Reelle
18-10-2021;17;Reelle
17-10-2021;20;Reelle
16-10-2021;19;Reelle
15-10-2021;22;Reelle
14-10-2021;18;Reelle
13-10-2021;19;Reelle
12-10-2021;21;Reelle
11-10-2021;18;Reelle
10-10-2021;18;Reelle
09-10-2021;20;Reelle
08-10-2021;18;Reelle
07-10-2021;17;Reelle
06-10-2021;20;Reelle
05-10-2021;21;Reelle
04-10-2021;21;Reelle
03-10-2021;17;Reelle
02-10-2021;14;Reelle
01-10-2021;10;Reelle
30-09-2021;15;Reelle
29-09-2021;13;Reelle
28-09-2021;12;Reelle
27-09-2021;12;Reelle
26-09-2021;11;Reelle
25-09-2021;11;Reelle
24-09-2021;9;Reelle
23-09-2021;14;Reelle
22-09-2021;13;Reelle
21-09-2021;13;Reelle
20-09-2021;13;Reelle
19-09-2021;14;Reelle
18-09-2021;13;Reelle
17-09-2021;16;Reelle
16-09-2021;12;Reelle
15-09-2021;14;Reelle
14-09-2021;12;Reelle
13-09-2021;17;Reelle
12-09-2021;16;Reelle
11-09-2021;13;Reelle
10-09-2021;13;Reelle
09-09-2021;12;Reelle
08-09-2021;12;Reelle
05-09-2021;13;Reelle
04-09-2021;13;Reelle
03-09-2021;14;Reelle
02-09-2021;13;Reelle
01-09-2021;17;Reelle
31-08-2021;14;Reelle
30-08-2021;14;Reelle
29-08-2021;13;Reelle
28-08-2021;12;Reelle
27-08-2021;10;Reelle
26-08-2021;12;Reelle
25-08-2021;14;Reelle
24-08-2021;13;Reelle
23-08-2021;14;Reelle
22-08-2021;9;Reelle
21-08-2021;12;Reelle
20-08-2021;9;Reelle
19-08-2021;10;Reelle
18-08-2021;10;Reelle
17-08-2021;11;Reelle
16-08-2021;11;Reelle
15-08-2021;10;Reelle
14-08-2021;19;Reelle
13-08-2021;17;Reelle
12-08-2021;9;Reelle
11-08-2021;9;Reelle
10-08-2021;9;Reelle
09-08-2021;10;Reelle
08-08-2021;12;Reelle
07-08-2021;10;Reelle
06-08-2021;10;Reelle
05-08-2021;11;Reelle
04-08-2021;15;Reelle
03-08-2021;9;Reelle
02-08-2021;9;Reelle
01-08-2021;11;Reelle
31-07-2021;15;Reelle
30-07-2021;12;Reelle
29-07-2021;12;Reelle
28-07-2021;16;Reelle
27-07-2021;11;Reelle
26-07-2021;14;Reelle
25-07-2021;6;Reelle
24-07-2021;9;Reelle
23-07-2021;10;Reelle
22-07-2021;12;Reelle
21-07-2021;12;Reelle
20-07-2021;8;Reelle
19-07-2021;12;Reelle
18-07-2021;8;Reelle
17-07-2021;14;Reelle
16-07-2021;15;Reelle
15-07-2021;9;Reelle
14-07-2021;9;Reelle
13-07-2021;13;Reelle
12-07-2021;12;Reelle
11-07-2021;12;Reelle
10-07-2021;13;Reelle
09-07-2021;14;Reelle
08-07-2021;12;Reelle
07-07-2021;11;Reelle
06-07-2021;12;Reelle
05-07-2021;14;Reelle
04-07-2021;9;Reelle
03-07-2021;10;Reelle
02-07-2021;10;Reelle
01-07-2021;14;Reelle
30-06-2021;12;Reelle
29-06-2021;11;Reelle
28-06-2021;13;Reelle
27-06-2021;11;Reelle
26-06-2021;11;Reelle
25-06-2021;10;Reelle
24-06-2021;15;Reelle
21-06-2021;14;Reelle
20-06-2021;11;Reelle
19-06-2021;13;Reelle
18-06-2021;8;Reelle
17-06-2021;12;Reelle
16-06-2021;12;Reelle
15-06-2021;9;Reelle
14-06-2021;11;Reelle
13-06-2021;9;Reelle
12-06-2021;11;Reelle
11-06-2021;10;Reelle
10-06-2021;8;Reelle
09-06-2021;15;Reelle
08-06-2021;18;Reelle
07-06-2021;19;Reelle
06-06-2021;19;Reelle
05-06-2021;17;Reelle
04-06-2021;21;Reelle
03-06-2021;19;Reelle
02-06-2021;16;Reelle
01-06-2021;18;Reelle
31-05-2021;21;Reelle
30-05-2021;24;Reelle
29-05-2021;21;Reelle
28-05-2021;18;Reelle
27-05-2021;22;Reelle
26-05-2021;24;Reelle
25-05-2021;23;Reelle
24-05-2021;29;Reelle
23-05-2021;22;Reelle
22-05-2021;25;Reelle
21-05-2021;22;Reelle
20-05-2021;22;Reelle
19-05-2021;21;Reelle
18-05-2021;25;Reelle
17-05-2021;23;Reelle
16-05-2021;20;Reelle
15-05-2021;26;Reelle
14-05-2021;23;Reelle
13-05-2021;30;Reelle
12-05-2021;21;Reelle
11-05-2021;23;Reelle
10-05-2021;23;Reelle
09-05-2021;24;Reelle
08-05-2021;22;Reelle
07-05-2021;22;Reelle
06-05-2021;26;Reelle
05-05-2021;26;Reelle
04-05-2021;20;Reelle
03-05-2021;24;Reelle
02-05-2021;26;Reelle
01-05-2021;25;Reelle
30-04-2021;28;Reelle
29-04-2021;24;Reelle
28-04-2021;25;Reelle
27-04-2021;23;Reelle
26-04-2021;24;Reelle
25-04-2021;25;Reelle
24-04-2021;25;Reelle
23-04-2021;25;Reelle
22-04-2021;23;Reelle
21-04-2021;24;Reelle
20-04-2021;24;Reelle
19-04-2021;30;Reelle
18-04-2021;23;Reelle
15-04-2021;26;Reelle
14-04-2021;31;Reelle
13-04-2021;31;Reelle
12-04-2021;30;Reelle
11-04-2021;36;Reelle
10-04-2021;29;Reelle
09-04-2021;29;Reelle
08-04-2021;29;Reelle
07-04-2021;36;Reelle
06-04-2021;31;Reelle
05-04-2021;30;Reelle
04-04-2021;26;Reelle
03-04-2021;25;Reelle
02-04-2021;23;Reelle
01-04-2021;19;Reelle
31-03-2021;20;Reelle
30-03-2021;21;Reelle
29-03-2021;25;Reelle
28-03-2021;23;Reelle
27-03-2021;30;Reelle
26-03-2021;25;Reelle
25-03-2021;26;Reelle
24-03-2021;30;Reelle
23-03-2021;28;Reelle
22-03-2021;30;Reelle
21-03-2021;26;Reelle
20-03-2021;31;Reelle
19-03-2021;23;Reelle
18-03-2021;30;Reelle
17-03-2021;27;Reelle
16-03-2021;26;Reelle
15-03-2021;30;Reelle
14-03-2021;40;Reelle
13-03-2021;42;Reelle
12-03-2021;40;Reelle
11-03-2021;34;Reelle
10-03-2021;43;Reelle
09-03-2021;43;Reelle
08-03-2021;44;Reelle
07-03-2021;45;Reelle
06-03-2021;51;Reelle
05-03-2021;38;Reelle
04-03-2021;38;Reelle
03-03-2021;31;Reelle
02-03-2021;34;Reelle
01-03-2021;44;Reelle
28-02-2021;44;Reelle
27-02-2021;42;Reelle
26-02-2021;40;Reelle
25-02-2021;29;Reelle
24-02-2021;33;Reelle
23-02-2021;35;Reelle
22-02-2021;34;Reelle
21-02-2021;33;Reelle
20-02-2021;28;Reelle
19-02-2021;31;Reelle
18-02-2021;35;Reelle
17-02-2021;39;Reelle
16-02-2021;37;Reelle
15-02-2021;38;Reelle
14-02-2021;65;Reelle
13-02-2021;67;Reelle
12-02-2021;63;Reelle
11-02-2021;69;Reelle
10-02-2021;70;Reelle
09-02-2021;56;Reelle
08-02-2021;56;Reelle
07-02-2021;45;Reelle
06-02-2021;47;Reelle
05-02-2021;34;Reelle
04-02-2021;34;Reelle
03-02-2021;37;Reelle
02-02-2021;26;Reelle
01-02-2021;30;Reelle
31-01-2021;34;Reelle
30-01-2021;30;Reelle
29-01-2021;29;Reelle
28-01-2021;29;Reelle
27-01-2021;36;Reelle
26-01-2021;50;Reelle
25-01-2021;55;Reelle
24-01-2021;58;Reelle
23-01-2021;57;Reelle
22-01-2021;49;Reelle
21-01-2021;49;Reelle
20-01-2021;44;Reelle
19-01-2021;38;Reelle
18-01-2021;45;Reelle
17-01-2021;51;Reelle
16-01-2021;49;Reelle
15-01-2021;44;Reelle
14-01-2021;38;Reelle
13-01-2021;47;Reelle
12-01-2021;41;Reelle
11-01-2021;48;Reelle
10-01-2021;63;Reelle
09-01-2021;58;Reelle
08-01-2021;55;Reelle
07-01-2021;57;Reelle
06-01-2021;57;Reelle
05-01-2021;53;Reelle
04-01-2021;51;Reelle
03-01-2021;49;Reelle
